Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,
2004,128458,129067,130107,131224,132127,132569,131405,131421,132133,133111,133360,133129,131509
2005,130423,131245,132083,133294,134104,134769,133705,133951,134576,135302,135857,135655,133747
2006,133000,133924,134903,135816,136621,137121,135945,136149,136817,137516,137898,137786,136125
2007,134994,135683,136576,137381,138323,138825,137425,137534,138096,138835,139143,138929,137645
2008,135896,136414,137003,137535,138105,138296,136811,136697,136748,137038,136355,135321,136852
2009,131627,131387,131249,131429,131697,131510,129910,129786,130144,130741,130787,130242,130876
2010,127374,127811,128646,129770,130886,131004,129664,129728,130221,131195,131502,131199,129917
2011,128338,129154,130061,131279,131963,132453,131181,131457,132204,133125,133456,133292,131497
2012,130657,131604,132505,133400,134213,134556,133368,133753,134374,135241,135636,135560,133739
2013,132704,133752,134570,135513,136383,136769,135583(P),135961(P), , , , , 
